,categories,cuisine
14424,"Food, Restaurants, Desserts, Bakeries, Cafes",Unknown
14425,"Breakfast & Brunch, Food, Delis, Hot Dogs, Sandwiches, Specialty Food, Restaurants",American Cuisine
14426,"Restaurants, Coffee & Tea, Gluten-Free, Food, Bagels",Unknown
14427,"American (Traditional), Coffee & Tea, Restaurants, Breakfast & Brunch, Food, Sandwiches",American Cuisine
14428,"Pizza, Restaurants, Chicken Wings, Sandwiches, Italian",European Cuisine
14429,"Thai, Japanese, Restaurants, Asian Fusion, Chinese",Asian Cuisine
14430,"Bakeries, Donuts, Cafes, Restaurants, Bagels, Food",American Cuisine
14431,"Breakfast & Brunch, Local Flavor, Restaurants",American Cuisine
14432,"Noodles, Vegetarian, Salad, Restaurants",Unknown
14433,"Soul Food, Gas Stations, Automotive, Food, Restaurants",Unknown
14434,"Breakfast & Brunch, Restaurants, Burgers, American (Traditional)",American Cuisine
14435,"Restaurants, Food, Coffee & Tea, Bakeries, Cupcakes",American Cuisine
14436,"Southern, American (Traditional), Restaurants, Fast Food, Chicken Wings",American Cuisine
14437,"Coffee & Tea, Breakfast & Brunch, Food, Bagels, Burgers, Restaurants",American Cuisine
14438,"Restaurants, Seafood, Pakistani, Indian",Asian Cuisine
14439,"Restaurants, Food, Chicken Wings, Beer, Wine & Spirits",Unknown
14440,"Restaurants, Salad, Pizza, Sandwiches",European Cuisine
14441,"Donuts, Food, Breakfast & Brunch, Restaurants",American Cuisine
14442,"Restaurants, American (New), Burgers, Hot Dogs, American (Traditional)",American Cuisine
14443,"Fast Food, Breakfast & Brunch, Restaurants, Mexican, Tex-Mex, Tacos",South American Cuisine
14444,"Soup, Breakfast & Brunch, Salad, Sandwiches, Food, Restaurants, Bagels",American Cuisine
14445,"American (Traditional), Sandwiches, Restaurants, Burgers",American Cuisine
14446,"Restaurants, Noodles, Pasta Shops, Food, Specialty Food, Salad",Unknown
14447,"Tex-Mex, Tacos, Restaurants, Breakfast & Brunch, American (New), Mexican",South American Cuisine
14448,"Food, Food Trucks, Tacos, Sandwiches, Restaurants, Mexican",South American Cuisine
14449,"Restaurants, Hot Dogs, Fast Food, Korean, Asian Fusion",Asian Cuisine
14450,"Sandwiches, Restaurants, Turkish, Salad, Mediterranean",Middle Eastern / African Cuisine
14451,"Breakfast & Brunch, Restaurants, Coffee & Tea, Waffles, American (New), Diners, Food, American (Traditional)",American Cuisine
14452,"Delis, Italian, Restaurants, Sandwiches",European Cuisine
14453,"Breakfast & Brunch, Sandwiches, Food, Restaurants, Bagels",American Cuisine
14454,"Restaurants, Food, Desserts, Delis, Sandwiches",Unknown
14455,"Food, Breakfast & Brunch, Cupcakes, Restaurants, Latin American, Food Stands",South American Cuisine
14456,"Latin American, American (Traditional), American (New), Pizza, Restaurants, Vegetarian",South American Cuisine
14457,"Restaurants, Cajun/Creole, Buffets, Breakfast & Brunch",American Cuisine
14458,"Desserts, Food, Soup, Restaurants, Sandwiches",Unknown
14459,"Coffee & Tea, Restaurants, Chinese, Food",Asian Cuisine
14460,"Food, Coffee & Tea, Sandwiches, Restaurants, Breakfast & Brunch",American Cuisine
14461,"Mexican, Restaurants, Breakfast & Brunch, Fast Food, Tacos, Tex-Mex",South American Cuisine
14462,"Caribbean, Restaurants, Soul Food",South American Cuisine
14463,"Food, Breakfast & Brunch, Restaurants, Gluten-Free, Coffee & Tea, Health Markets, Specialty Food",American Cuisine
14464,"Restaurants, Greek, Mediterranean, American (Traditional), Salad",European Cuisine
14465,"Restaurants, Tex-Mex, Breakfast & Brunch, Fast Food, Mexican, Tacos",South American Cuisine
14466,"Burgers, Restaurants, American (Traditional), Fast Food, Hot Dogs, Salad",American Cuisine
14467,"Chicken Wings, Salad, Food, Desserts, Sandwiches, Restaurants, Pizza",European Cuisine
14468,"Restaurants, Chicken Wings, Salad, Pizza, Sandwiches",European Cuisine
14469,"Delis, Sandwiches, Burgers, Restaurants",American Cuisine
14470,"American (New), Seafood, Pizza, Burgers, Steakhouses, Restaurants",European Cuisine
14471,"Salad, Italian, Pizza, Restaurants",European Cuisine
14472,"Restaurants, Creperies, Food, Ice Cream & Frozen Yogurt",European Cuisine
14473,"American (Traditional), Salad, Soup, American (New), Sandwiches, Vegetarian, Restaurants",American Cuisine
14474,"Restaurants, American (Traditional), Canadian (New), Steakhouses, Comfort Food",American Cuisine
14475,"Shaved Ice, Food, Desserts, Hawaiian, Restaurants, Bubble Tea, Food Trucks",American Cuisine
14476,"Southern, Cajun/Creole, Restaurants, Seafood, Breakfast & Brunch",American Cuisine
14477,"Food, Coffee & Tea, Restaurants, Coffee Roasteries, Breakfast & Brunch",American Cuisine
14478,"Restaurants, Italian, Sandwiches, Hot Dogs, American (Traditional)",European Cuisine
14479,"Breakfast & Brunch, Bakeries, Mexican, Food, Restaurants",South American Cuisine
14480,"Food, Salad, Ice Cream & Frozen Yogurt, Breakfast & Brunch, Restaurants, Cafes, Sandwiches",American Cuisine
14481,"Breakfast & Brunch, Restaurants, Food, Tea Rooms",American Cuisine
14482,"Bakeries, Coffee & Tea, Restaurants, Breakfast & Brunch, Colombian, Latin American, Food",South American Cuisine
14483,"Sandwiches, Mediterranean, Restaurants, Greek, Lebanese, Middle Eastern",Middle Eastern / African Cuisine
14484,"Cafes, Food, Restaurants, Coffee & Tea, Breakfast & Brunch",American Cuisine
14485,"Pizza, Italian, Restaurants, Sandwiches, Food, Salad, Desserts, Buffets",European Cuisine
14486,"Tattoo, Cafes, Beauty & Spas, Restaurants",Unknown
14487,"Greek, Desserts, Restaurants, Food, Mediterranean",European Cuisine
14488,"Restaurants, Chicken Wings, Burgers, Fish & Chips, Seafood, Pizza",European Cuisine
14489,"Pizza, Sandwiches, Restaurants, Breakfast & Brunch",European Cuisine
14490,"Delis, Food, Ethnic Food, Specialty Food, Italian, Restaurants",European Cuisine
14491,"Restaurants, Pizza, Chicken Wings, Salad",European Cuisine
14492,"Italian, American (New), Restaurants, Pizza",European Cuisine
14493,"Breakfast & Brunch, Coffee & Tea, Beer, Wine & Spirits, Food, Cafes, Sandwiches, Restaurants",American Cuisine
14494,"Food, Breakfast & Brunch, Bakeries, Mexican, Desserts, Restaurants",South American Cuisine
14495,"Chinese, Mongolian, Restaurants",Asian Cuisine
14496,"Hot Dogs, Restaurants, Mexican",South American Cuisine
14497,"Ramen, Japanese, Restaurants, Food, Bubble Tea",Asian Cuisine
14498,"Seafood, Restaurants, Food, Ethnic Food, Mexican, Specialty Food",South American Cuisine
14499,"Restaurants, Chinese, Mexican",Asian Cuisine
14500,"Sandwiches, American (Traditional), Burgers, Restaurants, Salad",American Cuisine
14501,"Restaurants, Desserts, Italian, Food, Ice Cream & Frozen Yogurt, Pizza",European Cuisine
14502,"Latin American, American (New), Restaurants, Sandwiches",South American Cuisine
14503,"Fast Food, Delis, Restaurants, Food, Sandwiches",American Cuisine
14504,"Restaurants, Breakfast & Brunch, Tacos, Mexican, Fast Food",South American Cuisine
14505,"Restaurants, American (New), Burgers, Fast Food",American Cuisine
14506,"Restaurants, Sandwiches, Fast Food, American (New), Burgers",American Cuisine
14507,"Food, Sandwiches, Coffee & Tea, Internet Cafes, Restaurants",Unknown
14508,"Steakhouses, Restaurants, Czech, Seafood, German, Modern European",European Cuisine
14509,"Chicken Wings, Burgers, Restaurants, Pizza, Salad",European Cuisine
14510,"Burgers, Food, Fast Food, Restaurants, Coffee & Tea, American (Traditional)",American Cuisine
14511,"Seafood, Fast Food, Middle Eastern, American (Traditional), Diners, Mediterranean, Sandwiches, Salad, Restaurants, Greek, Chicken Wings",Middle Eastern / African Cuisine
14512,"Breakfast & Brunch, French, Restaurants",European Cuisine
14513,"Salad, Chicken Wings, Restaurants, Pizza",European Cuisine
14514,"Fast Food, Indian, Salad, Mexican, Restaurants",Asian Cuisine
14515,"Breakfast & Brunch, Coffee & Tea, Restaurants, Cafes, Food",American Cuisine
14516,"Cajun/Creole, Restaurants, Sandwiches",American Cuisine
14517,"Restaurants, Steakhouses, Food, Seafood, Beer, Wine & Spirits",American Cuisine
14518,"Desserts, Restaurants, Food, Ice Cream & Frozen Yogurt, Sandwiches",American Cuisine
14519,"Restaurants, Asian Fusion, Chinese, Gluten-Free",Asian Cuisine
14520,"Breakfast & Brunch, Internet Cafes, Restaurants, Coffee & Tea, Food",American Cuisine
14521,"Burgers, Restaurants, Chicken Wings, Seafood",American Cuisine
14522,"Food Stands, Restaurants, Chinese",Asian Cuisine
14523,"Restaurants, Food, Custom Cakes, Bakeries",Unknown
14524,"Seafood, Sandwiches, Burgers, Mexican, Restaurants",South American Cuisine
14525,"Restaurants, Food, Specialty Food, Comfort Food, Seafood",Unknown
14526,"Fast Food, Burgers, Tacos, Mexican, Restaurants, Breakfast & Brunch",South American Cuisine
14527,"Food, Restaurants, Desserts, Local Flavor",Unknown
14528,"Restaurants, Seafood, Comfort Food, Breakfast & Brunch",American Cuisine
14529,"Breakfast & Brunch, American (Traditional), Diners, Restaurants, Burgers, Wraps, Seafood",American Cuisine
14530,"Buffets, Pakistani, Restaurants, Indian",Asian Cuisine
14531,"Seafood, Food, Restaurants, American (New), Desserts",American Cuisine
14532,"Italian, American (Traditional), Sandwiches, Restaurants, Food, Pizza",European Cuisine
14533,"Restaurants, Food, Bubble Tea",Unknown
14534,"Italian, Restaurants, Burgers, Pizza",European Cuisine
14535,"Spanish, Cuban, Delis, Italian, Breakfast & Brunch, Restaurants",South American Cuisine
14536,"Coffee & Tea, Hot Dogs, Food, Cafes, Restaurants",American Cuisine
14537,"Desserts, Gelato, Ice Cream & Frozen Yogurt, Food, Cafes, Restaurants",European Cuisine
14538,"Pizza, Chicken Wings, Italian, Fast Food, Restaurants",European Cuisine
14539,"Fast Food, Restaurants, Tex-Mex, Mexican, Tacos",South American Cuisine
14540,"Bakeries, Food, Restaurants, Cupcakes, Cafes, Coffee & Tea",American Cuisine
14541,"Sandwiches, Delis, Restaurants, Food, Fast Food",American Cuisine
14542,"American (New), American (Traditional), Restaurants, Diners",American Cuisine
14543,"Steakhouses, Spanish, Brazilian, Latin American, American (New), Restaurants, Argentine",South American Cuisine
14544,"African, Food, Food Trucks, Restaurants",Middle Eastern / African Cuisine
14545,"Restaurants, Gastropubs, German",European Cuisine
14546,"Restaurants, Vegan, Middle Eastern, Persian/Iranian",Middle Eastern / African Cuisine
14547,"American (Traditional), Breakfast & Brunch, American (New), Diners, Restaurants",American Cuisine
14548,"American (Traditional), Restaurants, American (New), Coffee & Tea, Food, Cafes, Breakfast & Brunch",American Cuisine
14549,"Greek, Sandwiches, Restaurants, Middle Eastern",Middle Eastern / African Cuisine
14550,"Fast Food, Restaurants, Food, American (Traditional), Specialty Food, Hot Dogs",American Cuisine
14551,"Seafood, Cajun/Creole, Restaurants, Fish & Chips",American Cuisine
14552,"Restaurants, Fast Food, American (New), Mexican, Tex-Mex",South American Cuisine
14553,"Seafood, Thai, Restaurants",Asian Cuisine
14554,"Specialty Food, Food, Restaurants, Desserts, Gelato, Chocolatiers & Shops, Coffee & Tea",European Cuisine
14555,"Restaurants, American (New), Breakfast & Brunch, Burgers, American (Traditional)",American Cuisine
14556,"Pop-Up Restaurants, Restaurants, American (Traditional)",American Cuisine
14557,"American (Traditional), Salad, Desserts, Restaurants, Breakfast & Brunch, Southern, Food",American Cuisine
14558,"Delis, Restaurants, Diners",American Cuisine
14559,"Restaurants, Pizza, Food, Breweries, Beer Gardens, Nightlife",European Cuisine
14560,"Burgers, Restaurants, Mexican, Breakfast & Brunch, Fast Food, Tacos",South American Cuisine
14561,"American (Traditional), Burgers, Restaurants, Breakfast & Brunch, American (New)",American Cuisine
14562,"Cafes, Food, American (Traditional), Breakfast & Brunch, Bakeries, Restaurants",American Cuisine
14563,"Restaurants, Chinese, Taiwanese, Asian Fusion",Asian Cuisine
14564,"Burgers, American (Traditional), Hot Dogs, Restaurants",American Cuisine
14565,"American (New), American (Traditional), Burgers, Restaurants, Breakfast & Brunch",American Cuisine
14566,"Seafood, Restaurants, Fast Food, Sandwiches",American Cuisine
14567,"Breakfast & Brunch, Delis, Restaurants, Bagels, Food, Sandwiches",American Cuisine
14568,"Chicken Shop, Chicken Wings, American (Traditional), Restaurants",American Cuisine
14569,"Hot Dogs, Restaurants, Food Stands, Mexican",South American Cuisine
14570,"Restaurants, Salad, Gastropubs, Sandwiches, Irish",Unknown
14571,"Breakfast & Brunch, Coffee & Tea, Food, Food Trucks, Restaurants",American Cuisine
14572,"Steakhouses, Mexican, Latin American, Restaurants",South American Cuisine
14573,"Bubble Tea, Pizza, Restaurants, Salad, Food",European Cuisine
14574,"Coffee & Tea, Food, Seafood, Cajun/Creole, Restaurants",American Cuisine
14575,"Noodles, Seafood, Chinese, Restaurants",Asian Cuisine
14576,"Noodles, Sandwiches, Soup, Restaurants, Vietnamese",Asian Cuisine
14577,"Food, Specialty Food, Pizza, Restaurants",European Cuisine
14578,"Restaurants, Breakfast & Brunch, Tacos, Fast Food, Tex-Mex, Mexican",South American Cuisine
14579,"Coffee & Tea, Coffee Roasteries, Restaurants, Food",Unknown
14580,"Pretzels, Brewpubs, Sandwiches, Restaurants, Food, Breweries",European Cuisine
14581,"Pizza, Restaurants, Sandwiches, Chicken Wings, Italian",European Cuisine
14582,"Salad, Beer, Wine & Spirits, Burgers, Ice Cream & Frozen Yogurt, Food, American (New), Restaurants, American (Traditional), Chicken Shop",American Cuisine
14583,"Soul Food, Caribbean, Restaurants",South American Cuisine
14584,"Noodles, Soup, Chinese, Restaurants",Asian Cuisine
14585,"Fast Food, Tacos, Restaurants, Mexican, Tex-Mex",South American Cuisine
14586,"Sandwiches, Restaurants, American (New), Soup, Salad",American Cuisine
14587,"Pizza, Food, Italian, Sandwiches, Restaurants",European Cuisine
14588,"Greek, Mediterranean, Lebanese, Middle Eastern, Restaurants",Middle Eastern / African Cuisine
14589,"Specialty Food, Restaurants, Pasta Shops, Food, Italian",European Cuisine
14590,"Food, Ice Cream & Frozen Yogurt, Restaurants, Diners",American Cuisine
14591,"Restaurants, Sandwiches, Delis, Mexican",South American Cuisine
14592,"Bagels, Food, Breakfast & Brunch, Bakeries, Restaurants",American Cuisine
14593,"Steakhouses, Cafes, American (Traditional), Seafood, Breakfast & Brunch, Restaurants, Sandwiches",American Cuisine
14594,"Restaurants, Desserts, Sandwiches, Fast Food, Food",American Cuisine
14595,"Southern, Comfort Food, Soul Food, Restaurants",American Cuisine
14596,"Indian, Desserts, Food, Pakistani, Halal, Buffets, Restaurants, Specialty Food",Asian Cuisine
14597,"Sandwiches, Restaurants, Specialty Food, Pasta Shops, Food, Pizza",European Cuisine
14598,"Middle Eastern, Greek, Restaurants",Middle Eastern / African Cuisine
14599,"American (New), Restaurants, Coffee & Tea, Food",American Cuisine
14600,"Food, Delis, Restaurants, Specialty Food, Ethnic Food",Unknown
14601,"American (Traditional), Mexican, Restaurants, Local Flavor, Burgers, Sandwiches, Seafood, Salad, American (New), Tacos",South American Cuisine
14602,"Fast Food, Restaurants, Mexican, Tacos",South American Cuisine
14603,"Creperies, Ice Cream & Frozen Yogurt, Desserts, Food, Restaurants",European Cuisine
14604,"Salad, Pizza, Restaurants, Mediterranean",European Cuisine
14605,"Restaurants, Gluten-Free, Coffee & Tea, Food, Bakeries",Unknown
14606,"American (New), Cajun/Creole, Restaurants, Southern",American Cuisine
14607,"Tex-Mex, Spanish, Mexican, Breakfast & Brunch, Restaurants",South American Cuisine
14608,"Sandwiches, Cheesesteaks, Pizza, Wraps, Restaurants",European Cuisine
14609,"Coffee & Tea, Comfort Food, Donuts, Food, Restaurants",American Cuisine
14610,"Noodles, Chinese, Seafood, Restaurants",Asian Cuisine
14611,"Food, Specialty Food, Restaurants, Seafood, Seafood Markets",Unknown
14612,"Restaurants, American (Traditional), Food, Bakeries",American Cuisine
14613,"Italian, Pizza, Restaurants, Local Flavor",European Cuisine
14614,"American (Traditional), Diners, Breakfast & Brunch, Restaurants, Waffles",American Cuisine
14615,"Restaurants, Chinese, Hot Pot, Buffets",Asian Cuisine
14616,"Sandwiches, Restaurants, Food, Pizza, Polish, Specialty Food, Pasta Shops",European Cuisine
14617,"Thai, Seafood, Restaurants, Fast Food",Asian Cuisine
14618,"Sandwiches, Cafes, American (New), Restaurants",American Cuisine
14619,"Restaurants, Kebab, Middle Eastern, Mediterranean",Middle Eastern / African Cuisine
14620,"Mexican, Tex-Mex, Tacos, Restaurants",South American Cuisine
14621,"Burgers, Food Trucks, Ice Cream & Frozen Yogurt, Restaurants, Food",American Cuisine
14622,"Caribbean, Food Stands, Ethnic Food, Specialty Food, Food, Restaurants",South American Cuisine
14623,"Colombian, Bakeries, Latin American, Desserts, Imported Food, Restaurants, Specialty Food, Ethnic Food, Food",South American Cuisine
14624,"Bagels, American (New), Restaurants, Food, Breakfast & Brunch",American Cuisine
14625,"American (New), Restaurants, Cafes, Chicken Wings, Specialty Food, Salad, Imported Food, Diners, Ethnic Food, Food",American Cuisine
14626,"Restaurants, American (Traditional), Salad, Vegan",American Cuisine
14627,"Hot Dogs, American (New), Restaurants",American Cuisine
14628,"Food, Diners, American (Traditional), Ice Cream & Frozen Yogurt, Burgers, Restaurants",American Cuisine
14629,"Sandwiches, Salad, Bagels, Coffee & Tea, Breakfast & Brunch, Food, Restaurants",American Cuisine
14630,"Sandwiches, American (Traditional), Restaurants, Salad",American Cuisine
14631,"Cafes, Cuban, Restaurants, Latin American",South American Cuisine
14632,"Mexican, Food Court, Restaurants, Tacos",South American Cuisine
14633,"Seafood, Cajun/Creole, Restaurants, Fast Food, Caribbean",South American Cuisine
14634,"American (Traditional), Burgers, Restaurants, Sandwiches",American Cuisine
14635,"Brasseries, Food, Restaurants, Beer, Wine & Spirits",European Cuisine
14636,"Breakfast & Brunch, Steakhouses, Seafood, Restaurants",American Cuisine
14637,"Mexican, Restaurants, Specialty Food, Ethnic Food, Food",South American Cuisine
14638,"Coffee & Tea, Delis, Food, Grocery, Restaurants",Unknown
14639,"New Mexican Cuisine, Restaurants",South American Cuisine
14640,"Restaurants, Coffee & Tea, Food, Cafes, Gelato",European Cuisine
14641,"Polish, Restaurants, Food, Food Trucks",Unknown
14642,"Restaurants, Local Flavor, Cafes",Unknown
14643,"Restaurants, Food, Burgers, Hot Dogs, Ice Cream & Frozen Yogurt, Fast Food",American Cuisine
14644,"Restaurants, Food, Sandwiches, Beer, Wine & Spirits, Chicken Shop, Southern, American (Traditional), Breakfast & Brunch",American Cuisine
14645,"Restaurants, Burgers, Sandwiches, American (New)",American Cuisine
14646,"Waffles, Restaurants, Desserts, Ice Cream & Frozen Yogurt, Food",American Cuisine
14647,"Ice Cream & Frozen Yogurt, Vegetarian, Restaurants, Seafood, Food, Gluten-Free, Thai",Asian Cuisine
14648,"Restaurants, Seafood, Sandwiches, Delis",Unknown
14649,"Food, Breweries, American (New), Restaurants",American Cuisine
14650,"Restaurants, Bistros, Italian",European Cuisine
14651,"Gluten-Free, Restaurants, Diners, Vegetarian",American Cuisine
14652,"Restaurants, Asian Fusion, Fast Food, Japanese",Asian Cuisine
14653,"Restaurants, Mediterranean, Greek, Seafood, Salad",European Cuisine
14654,"Food, Ramen, Bubble Tea, Asian Fusion, Japanese, Restaurants, Pan Asian, Sandwiches",Asian Cuisine
14655,"Diners, Restaurants, Sandwiches, American (Traditional), Breakfast & Brunch",American Cuisine
14656,"Automotive, Gas Stations, Breakfast & Brunch, American (Traditional), Pizza, Restaurants",European Cuisine
14657,"Chicken Wings, Chinese, Restaurants, Seafood",Asian Cuisine
14658,"Pizza, American (Traditional), Armenian, Cafes, Restaurants, Breakfast & Brunch",European Cuisine
14659,"Fast Food, Tex-Mex, Restaurants, Mexican",South American Cuisine
14660,"Burgers, Food, Hot Dogs, Restaurants, Fast Food, Coffee & Tea",American Cuisine
14661,"Tacos, Breakfast & Brunch, Mexican, Burgers, Restaurants, Fast Food",South American Cuisine
14662,"Tea Rooms, Restaurants, Coffee & Tea, Cafes, Bakeries, Food, American (Traditional)",American Cuisine
14663,"Food, Bakeries, Restaurants, Seafood",Unknown
14664,"American (Traditional), Vegetarian, Burgers, Restaurants, Local Flavor, Food, Ice Cream & Frozen Yogurt, American (New), Salad, Gluten-Free, Breakfast & Brunch, Sandwiches",American Cuisine
14665,"Restaurants, Sandwiches, Coffee & Tea, Food",Unknown
14666,"Steakhouses, Specialty Food, Restaurants, American (New), Seafood, Food, Cheese Shops",American Cuisine
14667,"Restaurants, Food Stands, Food, Desserts, Shaved Ice, Ice Cream & Frozen Yogurt",American Cuisine
14668,"Mexican, Chinese, Restaurants",Asian Cuisine
14669,"American (New), Restaurants, Cafes, Diners",American Cuisine
14670,"Italian, French, Restaurants, Pizza",European Cuisine
14671,"Chicken Shop, Fast Food, Restaurants, Tex-Mex",American Cuisine
14672,"Restaurants, Greek, Pizza",European Cuisine
14673,"Food, Desserts, Salad, Restaurants, American (Traditional), American (New)",American Cuisine
14674,"Food, Restaurants, Breakfast & Brunch, Bagels, Sandwiches",American Cuisine
14675,"Coffee & Tea, American (Traditional), Food, Restaurants, Breakfast & Brunch",American Cuisine
14676,"Fast Food, Restaurants, American (Traditional)",American Cuisine
14677,"Vegetarian, Vegan, Italian, Restaurants",European Cuisine
14678,"Burgers, Restaurants, Sandwiches, Cheesesteaks",American Cuisine
14679,"Indian, Bakeries, Coffee & Tea, Restaurants, Food",Asian Cuisine
14680,"Canadian (New), Restaurants, Steakhouses, Comfort Food, Sandwiches",American Cuisine
14681,"Sandwiches, Restaurants, Pizza, Cheesesteaks, Salad",European Cuisine
14682,"Restaurants, Patisserie/Cake Shop, Cafes, Breakfast & Brunch, Coffee & Tea, Food, American (Traditional)",American Cuisine
14683,"Food, Desserts, Italian, Restaurants, Pizza, Seafood",European Cuisine
14684,"Meat Shops, Food, Restaurants, Butcher, Specialty Food, Delis, Grocery",Unknown
14685,"Thai, Chinese, Restaurants, Japanese",Asian Cuisine
14686,"Tapas/Small Plates, Salad, Desserts, Italian, Brasseries, Restaurants, Food, Specialty Food, Coffee & Tea",European Cuisine
14687,"Sandwiches, Food, Desserts, Vegan, Soup, Restaurants",Unknown
14688,"Beer, Wine & Spirits, American (Traditional), Restaurants, American (New), Burgers, Food, Diners",American Cuisine
14689,"Cajun/Creole, Food, Sandwiches, Burgers, Restaurants",American Cuisine
14690,"Restaurants, Sandwiches, Italian, Delis",European Cuisine
14691,"Salad, Pizza, Chicken Wings, Restaurants, Sandwiches",European Cuisine
14692,"Restaurants, American (Traditional), American (New), Seafood, Food, Desserts, Salad",American Cuisine
14693,"Pakistani, Indian, Halal, Vegetarian, Restaurants, Vegan",Asian Cuisine
14694,"Fast Food, Food, Coffee & Tea, Burgers, Restaurants",American Cuisine
14695,"Food, Sandwiches, Bagels, Restaurants, Breakfast & Brunch",American Cuisine
14696,"Restaurants, Vietnamese, Thai, Bubble Tea, Chinese, Food",Asian Cuisine
14697,"Italian, Restaurants, Food, Specialty Food, Cheese Shops, Meat Shops",European Cuisine
14698,"Food Trucks, Food, Restaurants, Delis, Sandwiches",Unknown
14699,"Pizza, Sandwiches, Cheesesteaks, Restaurants, Ice Cream & Frozen Yogurt, Food, Breakfast & Brunch",European Cuisine
14700,"Fast Food, Burgers, Hot Dogs, Restaurants",American Cuisine
14701,"Chicken Wings, Restaurants, Burgers, Sandwiches, Cheesesteaks, Steakhouses",American Cuisine
14702,"Restaurants, Ice Cream & Frozen Yogurt, Food, Italian",European Cuisine
14703,"Arabic, Mediterranean, Restaurants, Greek, Lebanese, Middle Eastern",Middle Eastern / African Cuisine
14704,"Cafes, Food, American (New), Restaurants, American (Traditional), Desserts",American Cuisine
14705,"Mexican, Tacos, Vegan, Vegetarian, Food Trucks, Food, Restaurants",South American Cuisine
14706,"Restaurants, Ice Cream & Frozen Yogurt, Food, Burgers, Desserts",American Cuisine
14707,"Southern, Salad, Specialty Food, Cajun/Creole, Pasta Shops, Food, Seafood, Restaurants, Sandwiches",American Cuisine
14708,"Bangladeshi, Pakistani, Restaurants, Buffets, Halal, Indian",Asian Cuisine
14709,"Coffee & Tea, Food, Internet Cafes, Restaurants",Unknown
14710,"Vegetarian, Indian, Fast Food, Restaurants",Asian Cuisine
14711,"Restaurants, Indian, Halal, Buffets",Asian Cuisine
14712,"Fast Food, Restaurants, Sandwiches, Delis, Italian",European Cuisine
14713,"Fish & Chips, Breakfast & Brunch, Restaurants, Salad",American Cuisine
14714,"Restaurants, American (Traditional), Buffets, Breakfast & Brunch",American Cuisine
14715,"Restaurants, Specialty Food, Greek, Food",European Cuisine
14716,"Restaurants, Vegan, Food Trucks, Food, Pizza",European Cuisine
14717,"Comfort Food, Restaurants, Mediterranean",Unknown
14718,"Restaurants, Peruvian, Food Trucks, Food",Unknown
14719,"Restaurants, Food, Diners, Sandwiches, Italian",European Cuisine
14720,"Restaurants, Pizza, Wraps, Sandwiches",European Cuisine
14721,"Specialty Food, Restaurants, Cheese Shops, American (New), Food",American Cuisine
14722,"Food, Restaurants, Bakeries, Grocery, Delis, Sandwiches, Meat Shops, Specialty Food",Unknown
14723,"Pizza, Restaurants, Breakfast & Brunch, Diners, American (Traditional)",European Cuisine
14724,"Italian, Restaurants, Food, Specialty Food",European Cuisine
14725,"Food Trucks, Restaurants, Burgers, Fast Food, Food",American Cuisine
14726,"Restaurants, Breakfast & Brunch, Waffles, American (New), Diners",American Cuisine
14727,"Fast Food, Mexican, Breakfast & Brunch, Restaurants, Burgers, Tacos",South American Cuisine
14728,"Thai, Malaysian, Restaurants, Asian Fusion",Asian Cuisine
14729,"Restaurants, Donuts, Food, Coffee & Tea, Diners",American Cuisine
14730,"Desserts, Thai, Food, Chinese, Restaurants, Japanese",Asian Cuisine
14731,"Persian/Iranian, Restaurants, Halal",Middle Eastern / African Cuisine
14732,"Basque, Seafood, Spanish, Latin American, Restaurants",South American Cuisine
14733,"Vegan, Thai, Restaurants, Chinese",Asian Cuisine
14734,"Southern, Breakfast & Brunch, Comfort Food, Vegetarian, Restaurants",American Cuisine
14735,"Latin American, Caribbean, Food, Cafes, Puerto Rican, Bakeries, Restaurants",South American Cuisine
14736,"Sandwiches, Restaurants, Burgers, American (Traditional)",American Cuisine
14737,"American (New), Wraps, Restaurants, Salad",American Cuisine
14738,"Breakfast & Brunch, Cajun/Creole, Restaurants",American Cuisine
14739,"Specialty Food, Restaurants, Italian, Food, Pizza",European Cuisine
14740,"Cajun/Creole, Southern, Soul Food, Restaurants, Seafood",American Cuisine
14741,"Restaurants, American (Traditional), Burgers, Mexican, Fast Food",South American Cuisine
14742,"Chinese, Restaurants, Thai, Dim Sum, American (New)",Asian Cuisine
14743,"Restaurants, Steakhouses, Food",American Cuisine
14744,"Restaurants, Cupcakes, Ice Cream & Frozen Yogurt, Food, Custom Cakes",American Cuisine
14745,"Food, Fast Food, Chicken Wings, American (Traditional), Restaurants, Desserts, Sandwiches, Seafood",American Cuisine
14746,"Food, Burgers, Fast Food, Restaurants, Desserts, Ice Cream & Frozen Yogurt",American Cuisine
14747,"Desserts, Ice Cream & Frozen Yogurt, Chocolatiers & Shops, Restaurants, Specialty Food, Food",American Cuisine
14748,"Restaurants, Nicaraguan, Spanish",European Cuisine
14749,"Restaurants, French, American (Traditional), Sandwiches, Burgers, Salad",European Cuisine
14750,"American (Traditional), Restaurants, Ice Cream & Frozen Yogurt, Hot Dogs, American (New), Food",American Cuisine
14751,"Sandwiches, Burgers, Pizza, Restaurants",European Cuisine
14752,"Restaurants, Pizza, Sandwiches, Chicken Wings, Steakhouses",European Cuisine
14753,"Patisserie/Cake Shop, French, Food, Restaurants, Bakeries, Cupcakes",European Cuisine
14754,"Salad, Restaurants, Chinese, Soup, Asian Fusion",Asian Cuisine
14755,"Restaurants, Filipino, Food",Asian Cuisine
